Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,All Time Rank Factor,Explicit Track Logical
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1.0,725.4,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,684.0,62.0,0.0,114.0,0.0,0.0,0.0,0.0,0,1.0,False
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2.0,545.9,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,3.0,67.0,0.0,111.0,0.0,0.0,0.0,0.0,1,2.0,True
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3.0,538.4,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,536.0,136.0,0.0,172.0,0.0,0.0,0.0,0.0,0,3.0,False
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4.0,444.9,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,264.0,0.0,210.0,0.0,0.0,0.0,0.0,0,4.0,False
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5.0,423.3,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,1.0,82.0,0.0,105.0,0.0,0.0,0.0,0.0,1,5.0,True
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6.0,410.1,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,86.0,0.0,152.0,0.0,0.0,0.0,0.0,1,6.0,True
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7.0,407.2,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,429.0,168.0,0.0,154.0,0.0,0.0,0.0,0.0,0,7.0,False
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8.0,375.8,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,30.0,87.0,0.0,53.0,0.0,0.0,0.0,0.0,1,8.0,True
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9.0,355.7,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,True
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10.0,330.6,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,117.0,78.0,0.0,92.0,0.0,842.0,0.0,0.0,1,10.0,True
